Name,URL,Author,Language,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,Medium commit size,Total releases,Stargazers,Forks,Contributors,"Active forkers, %",Open issues,Closed issues,Total issues,Issue/day,"Closed issues, %",Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
bolt/bolt,https://github.com/bolt/bolt,bobdenotter,PHP,MIT,124,293,2012/06,2129,18928,1524523,1346055,2870578,2018-04-07 11:30:23,8.8906,151,135,3638,771,244,31.65,59,3229,1.5167,98.17,98.17,8,8,5,12,28,2,4,16,83
joomla/joomla-cms,https://github.com/joomla/joomla-cms,spacemonkey,PHP,GPL-2.0,68,901,2011/09,2391,21727,5090115,4236988,9327103,2018-04-08 18:45:49,9.0870,429,193,2703,2676,304,11.36,826,7112,2.9745,88.39,88.39,12,12,3,8,9,14,3,33,94
keystonejs/keystone,https://github.com/keystonejs/keystone,JedWatson,JavaScript,MIT,2276,8422,2013/07,1747,6378,1337103,992201,2329304,2018-04-10 15:38:54,3.6508,365,68,12452,1971,201,10.20,362,2296,1.3143,84.23,84.23,1,1,15,21,2,18,14,37,109
WordPress/WordPress,https://github.com/WordPress/WordPress,[Account removed],PHP,[Unknown],0,3035,2011/12,2326,16198,998076,658441,1656517,2018-04-10 18:02:30,6.9639,102,307,10776,6379,43,0.67,0,0,0.0000,0.00,0.00,2,2,6,5,4,45,8,47,119
directus/directus,https://github.com/directus/directus,coolov,JavaScript,GPL-3.0,23,249,2012/12,1949,12474,964254,902718,1866972,2018-04-03 11:26:58,6.4002,149,52,2982,293,70,23.89,45,1506,0.7727,97.01,97.01,9,9,10,27,31,4,10,20,120
octobercms/october,https://github.com/octobercms/october,daftspunk,PHP,MIT,385,924,2013/11,1599,3316,1244958,862718,2107676,2018-02-17 23:12:34,2.0738,635,117,6879,1704,245,14.38,277,2253,1.4090,87.71,87.71,4,4,22,16,8,15,25,29,123
getgrav/grav,https://github.com/getgrav/grav,w00fz,PHP,MIT,127,561,2014/08,1350,3185,206420,212379,418799,2018-04-03 00:04:40,2.3593,131,129,8782,855,124,14.50,173,1554,1.1511,88.87,88.87,3,3,24,14,18,13,22,28,125
forkcms/forkcms,https://github.com/forkcms/forkcms,Dextro,PHP,MIT,29,475,2010/12,2687,7934,2135567,2189431,4324998,2018-03-28 09:57:05,2.9527,545,131,1015,267,73,27.34,70,775,0.2884,90.97,90.97,17,17,13,13,24,9,18,18,129
drupal/drupal,https://github.com/drupal/drupal,dbuytaert,PHP,[Unknown],102,732,2009/01,3387,28107,5431326,4328770,9760096,2018-04-08 04:27:31,8.2985,347,309,2976,1503,43,2.86,0,0,0.0000,0.00,0.00,10,10,2,3,12,41,6,45,129
liferay/liferay-portal,https://github.com/liferay/liferay-portal,brianchandotcom,Java,[Unknown],1288,1693,2009/09,3122,232500,78094720,69927242,148021962,2018-04-07 16:14:55,74.4715,636,68,1202,2059,317,15.40,0,0,0.0000,0.00,0.00,16,16,0,22,6,47,0,27,134
contao/core,https://github.com/contao/core,leofeyer,PHP,LGPL-3.0,173,834,2011/11,2327,5564,4342504,3541146,7883650,2018-03-06 07:27:39,2.3911,1416,160,535,261,46,17.62,356,8217,3.5312,95.67,95.67,24,24,17,11,10,5,21,23,135
TYPO3/TYPO3.CMS,https://github.com/TYPO3/TYPO3.CMS,aotto,PHP,[Unknown],5,387,2011/03,2600,19941,5843774,5517360,11361134,2018-04-08 07:50:32,7.6696,569,500,522,306,280,91.50,0,0,0.0000,0.00,0.00,25,25,4,1,25,43,7,6,136
sulu/sulu-standard,https://github.com/sulu/sulu-standard,fabpot,PHP,MIT,8142,12881,2013/07,1733,2307,135728,142647,278375,2018-02-27 07:03:10,1.3312,120,172,613,119,157,131.93,102,524,0.3024,80.53,80.53,22,22,30,10,1,26,32,3,146
modxcms/revolution,https://github.com/modxcms/revolution,opengeek,PHP,[Unknown],179,666,2010/07,2815,4435,1108638,586615,1695253,2018-04-10 17:27:53,1.5755,382,73,903,487,161,33.06,615,5969,2.1204,89.70,89.70,18,18,19,20,16,12,31,14,148
concrete5/concrete5,https://github.com/concrete5/concrete5,aembler,PHP,MIT,96,487,2014/04,1452,15888,15258914,14950621,30209535,2018-04-05 19:52:41,10.9421,1901,36,445,345,214,62.03,594,3052,2.1019,80.54,80.54,27,27,7,30,22,25,2,8,148
pagekit/pagekit,https://github.com/pagekit/pagekit,steffans,PHP,MIT,141,714,2014/03,1499,4561,918373,801038,1719411,2018-01-15 15:12:12,3.0427,376,30,4702,537,48,8.94,128,723,0.4823,82.30,82.30,6,6,18,34,14,22,16,39,155
apostrophecms/apostrophe,https://github.com/apostrophecms/apostrophe,boutell,JavaScript,MIT,116,287,2013/02,1890,3284,470250,226643,696893,2018-04-11 18:01:47,1.7376,212,721,2065,272,43,15.81,172,890,0.4709,80.67,80.67,14,14,23,0,29,24,28,26,158
neos/neos-development-collection,https://github.com/neos/neos-development-collection,kdambekalns,JavaScript,GPL-3.0,65,564,2015/08,970,8345,3016994,2380431,5397425,2018-04-09 16:25:16,8.6031,646,183,152,132,122,92.42,411,690,0.7113,40.43,40.43,38,38,12,9,17,35,5,5,159
strapi/strapi,https://github.com/strapi/strapi,loicsaintroch,JavaScript,MIT,99,491,2015/09,926,2771,1066150,1010269,2076419,2018-04-11 17:56:35,2.9924,749,45,4333,376,50,13.30,98,501,0.5410,80.44,80.44,7,7,27,28,21,27,17,32,166
netlify/netlify-cms,https://github.com/netlify/netlify-cms,biilmann,JavaScript,MIT,165,1206,2015/01,1180,1340,138754,75465,214219,2018-04-11 14:54:25,1.1356,159,64,4810,702,98,13.96,241,681,0.5771,64.61,64.61,5,5,37,23,7,31,34,30,172
zikula/core,https://github.com/zikula/core,[Account removed],PHP,[Unknown],0,312,2010/07,2827,7447,1346218,1200701,2546919,2018-04-06 15:57:15,2.6342,342,58,201,76,44,57.89,111,1937,0.6852,94.27,94.27,35,35,14,25,27,7,19,11,173
nuxeo/nuxeo,https://github.com/nuxeo/nuxeo,efge,Java,[Unknown],11,91,2011/12,2312,28439,6182968,5008020,11190988,2018-04-04 14:11:30,12.3006,393,488,197,145,85,58.62,0,0,0.0000,0.00,0.00,36,36,1,2,44,44,1,10,174
thelia/thelia,https://github.com/thelia/thelia,lunika,PHP,[Unknown],67,236,2013/03,1852,6230,11284215,11035914,22320129,2018-03-26 21:32:51,3.3639,3582,58,698,221,61,27.60,181,866,0.4676,79.10,79.10,21,21,16,24,33,28,15,17,175
spip/SPIP,https://github.com/spip/SPIP,[Account removed],PHP,GPL-3.0,0,499,2010/08,2801,14105,944047,759289,1703336,2018-04-09 03:36:53,5.0357,120,122,57,22,32,145.45,0,0,0.0000,0.00,0.00,44,44,8,15,19,42,12,2,186
alkacon/opencms-core,https://github.com/alkacon/opencms-core,[Account removed],Java,LGPL-2.1,0,34,2011/06,2482,12957,15781615,15939217,31720832,2018-03-07 10:29:05,5.2204,2448,226,354,319,35,10.97,84,466,0.1878,81.97,81.97,30,30,9,6,45,23,11,35,189
