Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
fulcrologic/fulcro,https://github.com/fulcrologic/fulcro,[Unknown account],[Unknown],Clojure,"Clojure(99.19),CSS(0.61),HTML(0.14),JavaScript(0.04),Makefile(0.02)",A library for development of single-page full-stack web applications in clj/cljs,1379497,MIT,0,4528,2017/07,1221,3151,494647,460638,955285,2020-10-10 23:18:43,2.5807,238,303,211,918,94,67,71.28,16,1,53,54,0.0442,98.15,5,1,2,1,1,1,1,1,1
juxt/yada,https://github.com/juxt/yada,malcolmsparks,Milton Keynes,HTML,"HTML(72.42),Clojure(12.47),CSS(8.19),JavaScript(6.88),Shell(0.02),Makefile(0.01)","A powerful Clojure web library, full HTTP, full async - see https://juxt.pro/yada/index.html",3949240,MIT,190,1877,2014/12,2145,1514,310815,134477,445292,2020-04-27 12:57:25,0.7058,131,294,139,690,96,53,55.21,4,108,36,144,0.0671,25.00,6,3,5,2,3,7,2,4,2
pedestal/pedestal,https://github.com/pedestal/pedestal,[Unknown account],[Unknown],Clojure,"Clojure(93.31),HTML(4.25),Ruby(1.11),Java(0.97),Shell(0.32),Dockerfile(0.03),JavaScript(0.01)",The Pedestal Server-side Libraries,630712,[Custom license],0,1394,2013/03,2812,816,41983,59521,101504,2020-08-14 18:55:24,0.2902,205,124,30,2329,266,72,27.07,10,45,401,446,0.1586,89.91,2,6,3,6,5,4,4,2,3
duct-framework/duct,https://github.com/duct-framework/duct,weavejester,"London, UK",Clojure,"Clojure(96.99),HTML(2.18),Emacs Lisp(0.82)",Server-side application framework for Clojure,16029,MIT,1495,1669,2014/09,2258,625,8670,7439,16109,2020-04-23 18:42:20,0.2768,128,25,72,985,47,18,38.30,1,9,83,92,0.0407,90.22,3,4,6,4,4,3,5,7,4
hoplon/hoplon,https://github.com/hoplon/hoplon,micha,USA,Clojure,"Clojure(99.85),Nix(0.15)",Hoplon web development tools and libraries.,111191,EPL-1.0,193,783,2013/05,2740,589,31498,34554,66052,2020-10-05 19:49:42,0.2150,328,112,98,925,69,25,36.23,6,42,107,149,0.0544,71.81,4,5,1,3,7,6,6,3,5
weavejester/compojure,https://github.com/weavejester/compojure,[Unknown account],[Unknown],Clojure,"Clojure(99.94),HTML(0.06)",A concise routing library for Ring/Clojure,48078,EPL-1.0,0,3037,2008/05,4580,667,14357,12636,26993,2020-08-04 18:41:01,0.1456,197,40,63,3832,252,34,13.49,4,5,61,66,0.0144,92.42,1,8,4,5,2,2,7,5,6
luminus-framework/luminus,https://github.com/luminus-framework/luminus,yogthos,"Toronto, Canada",CSS,"CSS(35.47),HTML(33.89),Clojure(18.92),JavaScript(11.72)",documentation site for Luminus framework,23389,[Custom license],838,1089,2012/12,2882,1092,28085,17620,45705,2020-08-17 21:42:30,0.3789,54,41,0,601,124,98,79.03,3,23,83,106,0.0368,78.30,7,7,8,8,6,5,3,6,7
metasoarous/datsys,https://github.com/metasoarous/datsys,metasoarous,"Seattle WA, USA",Clojure,"Clojure(51.04),CSS(44.96),HTML(2.93),Shell(1.08)",(+ clj cljs datomic datascript re-frame-esque-frp),72919,EPL-1.0,206,595,2016/03,1703,164,31707,20012,51719,2017-06-15 18:49:26,0.0963,74,315,0,210,26,7,26.92,1,21,1,22,0.0129,4.55,8,2,7,7,8,8,8,8,8
