Name,URL,Author,Author's location,Main language,All used languages,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
keystonejs/keystone,https://github.com/keystonejs/keystone,JedWatson,Sydney,JavaScript,"JavaScript(90.88),CSS(7.77),HTML(1.33),Shell(0.02)",1791974,MIT,2332,8664,2013/07,1796,6364,1266347,993230,2259577,2018-04-15 05:35:09,3.5434,199,355,68,12621,1996,201,10.07,33,373,1936,2309,1.2856,83.85,1,4,2,2,1,3,2,1,1
apostrophecms/apostrophe,https://github.com/apostrophecms/apostrophe,boutell,"Philadelphia, PA USA",JavaScript,"JavaScript(89.56),HTML(5.63),CSS(4.81)",1719625,MIT,119,294,2013/02,1939,3336,471278,227010,698288,2018-05-11 21:03:04,1.7205,273,209,727,2111,275,46,16.73,17,171,745,916,0.4724,81.33,6,5,1,1,5,4,4,2,2
directus/directus,https://github.com/directus/directus,coolov,[Unknown],JavaScript,"JavaScript(49.82),PHP(34.40),CSS(11.27),HTML(4.46),Shell(0.06)",3533538,GPL-3.0,23,251,2012/12,1998,12474,964254,902718,1866972,2018-04-03 11:26:58,6.2432,91,149,52,3062,309,70,22.65,8,60,1470,1530,0.7658,96.08,4,6,4,4,6,1,1,5,3
strapi/strapi,https://github.com/strapi/strapi,loicsaintroch,"Paris, France",JavaScript,"JavaScript(84.65),CSS(14.31),HTML(0.97),Shell(0.06),Makefile(0.01)",1801224,MIT,98,513,2015/09,975,3081,1082145,1019093,2101238,2018-05-11 08:52:33,3.1600,61,681,48,4982,462,63,13.64,9,94,550,644,0.6605,85.40,3,1,5,5,4,2,3,4,4
netlify/netlify-cms,https://github.com/netlify/netlify-cms,biilmann,"San Francisco, CA",JavaScript,"JavaScript(75.29),HTML(13.24),CSS(11.48)",685784,MIT,173,1257,2015/01,1229,1375,139463,76046,215509,2018-05-12 16:02:38,1.1188,44,156,66,5206,739,105,14.21,12,284,470,754,0.6135,62.33,2,2,6,3,2,5,5,3,5
Dynalon/mdwiki,https://github.com/Dynalon/mdwiki,Dynalon,Karlsruhe,JavaScript,"JavaScript(73.61),TypeScript(22.47),HTML(1.93),CSS(1.41),Shell(0.55),Makefile(0.04)",353665,[Custom license],101,738,2013/09,1707,348,24191,10488,34679,2017-12-28 19:08:24,0.2039,111,99,13,2376,522,16,3.07,1,128,157,285,0.1670,55.09,5,3,3,6,3,6,6,6,6
