Name,URL,Author,Author's followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Medium commit size,Stargazers,Forks,Contributors,"Active forkers, %",Open issues,Total issues,"Closed issues, %",Place
angular,https://github.com/angular/angular,mhevery,3315,2014/09,1276,9030,2431870,1886629,4318499,478,34138,8373,424,5.06,2237,12231,81.71,1
react,https://github.com/facebook/react,zpao,2197,2013/05,1758,5617,1159301,975523,2134824,380,90900,17172,454,2.64,424,5340,92.06,2
vue,https://github.com/vuejs/vue,yyx990803,28637,2013/07,1693,2467,429741,261976,691717,280,87213,12784,182,1.42,108,6196,98.26,3

