Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
vibe-d/vibe.d,https://github.com/vibe-d/vibe.d,s-ludwig,[Unknown],D,"D(97.41),Meson(1.49),Shell(1.10)",Official vibe.d development,1553603,NOASSERTION,105,870,2012/04,3130,4453,303584,254299,557883,2020-11-14 08:27:55,1.4227,501,125,192,1031,282,162,57.45,30,459,385,844,0.2696,45.62,1,3,1,1,1,4,1,1,1
huntlabs/hunt,https://github.com/huntlabs/hunt,zhangyuchun,[Unknown],D,D(100.00),A refined core library for D programming language. The module has concurrency / collections / event / io / logging / text / serialization and more.,531380,Apache-2.0,2,288,2017/03,1346,840,505772,488208,993980,2020-10-22 11:04:11,0.6241,299,1183,13,74,11,13,118.18,7,10,52,62,0.0461,83.87,4,2,3,4,4,1,2,2,2
adamdruppe/arsd,https://github.com/adamdruppe/arsd,adamdruppe,"Watertown, New York, United States",D,"D(99.64),PHP(0.36)","This is a collection of modules that I've released over the years. Most of them stand alone, or have just one or two dependencies in here, so you don't have to download this whole repo.",4887984,NOASSERTION,110,388,2011/07,3410,1264,192926,35938,228864,2020-11-12 20:45:04,0.3707,250,181,88,405,87,37,42.53,4,25,46,71,0.0208,64.79,2,4,4,2,2,3,3,3,3
DiamondMVC/Diamond,https://github.com/DiamondMVC/Diamond,bausshf,[Unknown],D,D(100.00),Diamond is a full-stack web-framework written in The D Programming Language using vibe.d,653767,MIT,6,340,2017/10,1124,233,44429,16101,60530,2020-03-31 19:16:28,0.2073,448,259,48,172,6,2,33.33,1,1,2,3,0.0027,66.67,3,1,2,3,3,2,4,4,4
