Name,URL,Author,Author's location,Main language,All used languages,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
zotonic/zotonic,https://github.com/zotonic/zotonic,[Unknown account],[Unknown],Erlang,"Erlang(62.48),Smarty(13.31),JavaScript(13.05),CSS(8.99),Shell(0.86),HTML(0.42),Emacs Lisp(0.42),Python(0.41),Makefile(0.05),Batchfile(0.00)",6171853,Apache-2.0,0,432,2011/06,2554,6342,2406121,2094696,4500817,2018-04-20 16:07:28,2.4832,336,709,83,557,166,62,37.35,11,254,1108,1362,0.5333,81.35,6,5,2,1,7,6,1,1,1
synrc/n2o,https://github.com/synrc/n2o,5HT,"Kyiv, Ukraine",Erlang,"Erlang(63.45),JavaScript(18.00),HTML(17.96),Elixir(0.54),Shell(0.04)",107275,[Custom license],389,881,2013/03,1890,1320,96082,106404,202486,2018-04-16 19:16:45,0.6984,107,153,19,1099,152,47,30.92,5,6,102,108,0.0571,94.44,4,2,7,4,3,2,2,3,2
ninenines/cowboy,https://github.com/ninenines/cowboy,[Unknown account],[Unknown],Erlang,"Erlang(99.66),Makefile(0.34),Python(0.00)",969982,ISC,0,1160,2011/03,2641,1201,126070,74590,200660,2018-05-02 09:08:27,0.4548,104,167,42,4942,916,98,10.70,4,106,784,890,0.3370,88.09,1,6,8,2,2,3,3,5,3
mochi/mochiweb,https://github.com/mochi/mochiweb,mdempsky,"San Francisco, CA",Erlang,"Erlang(99.82),Shell(0.08),Makefile(0.08),HTML(0.02)",530932,[Custom license],168,1193,2010/05,2932,410,24305,7649,31954,2018-05-12 20:27:31,0.1398,185,77,37,1601,429,50,11.66,5,13,87,100,0.0341,87.00,3,7,3,3,1,4,6,4,4
ChicagoBoss/ChicagoBoss,https://github.com/ChicagoBoss/ChicagoBoss,[Unknown account],[Unknown],Erlang,"Erlang(81.51),HTML(12.18),CSS(3.24),Elixir(1.22),Makefile(0.94),Shell(0.62),Batchfile(0.28)",583310,MIT,0,766,2009/10,3163,860,218177,191700,409877,2017-10-13 13:24:19,0.2719,156,476,17,1722,305,63,20.66,9,72,247,319,0.1009,77.43,2,8,5,6,4,7,4,2,5
nitrogen/nitrogen,https://github.com/nitrogen/nitrogen,[Unknown account],[Unknown],Erlang,"Erlang(50.50),Shell(14.86),Makefile(14.63),Perl(10.64),Emacs Lisp(4.53),HTML(1.94),CSS(1.50),Batchfile(0.78),Vim script(0.63)",112183,MIT,0,519,2008/10,3504,787,174984,172479,347463,2018-04-07 14:37:53,0.2246,178,441,12,839,151,29,19.21,3,8,50,58,0.0166,86.21,5,9,4,7,6,5,5,6,6
kivra/giallo,https://github.com/kivra/giallo,bipthelin,Stockholm,Erlang,Erlang(100.00),56147,[Custom license],28,66,2013/02,1936,51,3408,1502,4910,2013-05-29 07:00:46,0.0263,52,96,2,62,5,2,40.00,1,0,1,1,0.0005,100.00,8,3,9,9,9,1,8,7,7
tsujigiri/axiom,https://github.com/tsujigiri/axiom,tsujigiri,"Berlin, Germany",Erlang,"Erlang(97.83),Makefile(2.17)",33785,MIT,62,187,2012/07,2147,134,3528,1877,5405,2015-04-28 16:09:52,0.0624,122,40,18,244,25,7,28.00,1,8,11,19,0.0088,57.89,7,4,6,5,8,8,7,8,8
synrc/rest,https://github.com/synrc/rest,5HT,"Kyiv, Ukraine",Erlang,"Erlang(96.93),Elixir(3.07)",11650,[Custom license],389,610,2014/03,1541,14,412,42,454,2018-04-02 12:58:28,0.0091,422,32,3,55,16,3,18.75,1,1,1,2,0.0013,50.00,9,1,1,8,5,9,9,9,9
