Name,URL,Author,Author's location,Main language,All used languages,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
phoenixframework/phoenix,https://github.com/phoenixframework/phoenix,chrismccord,"Charlotte, NC",Elixir,"Elixir(89.75),JavaScript(8.83),CSS(1.00),HTML(0.42)",1058646,MIT,1445,10765,2014/01,1593,3495,280402,235345,515747,2018-05-12 08:22:09,2.1940,324,147,63,11762,1420,445,31.34,37,27,1491,1518,0.9529,98.22,1,6,2,1,1,2,1,1,1
sugar-framework/sugar,https://github.com/sugar-framework/sugar,slogsdon,"Louisville, KY, USA",Elixir,"Elixir(99.86),HTML(0.14)",67241,MIT,94,4044,2014/01,1599,215,7898,4864,12762,2017-02-07 03:56:12,0.1345,144,59,13,361,28,13,46.43,2,8,52,60,0.0375,86.67,3,7,3,3,2,3,3,2,2
kittoframework/kitto,https://github.com/kittoframework/kitto,Zorbash,"London, UK",Elixir,"Elixir(78.73),JavaScript(10.65),CSS(6.19),HTML(4.43)",158304,MIT,73,388,2016/05,751,295,8395,2152,10547,2018-03-24 22:10:13,0.3928,65,35,21,691,42,15,35.71,2,13,54,67,0.0892,80.60,2,1,6,2,5,5,2,3,3
hexedpackets/trot,https://github.com/hexedpackets/trot,hexedpackets,New York,Elixir,"Elixir(99.77),HTML(0.23)",41806,Apache-2.0,10,2247,2015/05,1116,99,1867,828,2695,2018-04-04 20:30:13,0.0887,105,27,8,288,24,10,41.67,1,11,14,25,0.0224,56.00,4,2,4,4,3,7,4,5,4
slogsdon/placid,https://github.com/slogsdon/placid,slogsdon,"Louisville, KY, USA",Elixir,Elixir(100.00),81946,MIT,94,612,2014/09,1364,71,6967,3883,10850,2017-01-25 00:41:40,0.0521,437,152,4,154,6,2,33.33,1,3,10,13,0.0095,76.92,6,5,1,6,4,6,7,6,5
AntonFagerberg/rackla,https://github.com/AntonFagerberg/rackla,[Unknown account],[Unknown],Elixir,Elixir(100.00),58204,[Custom license],0,138,2015/04,1143,60,2152,1651,3803,2016-09-25 13:59:39,0.0525,84,63,6,219,24,6,25.00,1,0,18,18,0.0157,100.00,5,3,5,5,7,1,5,7,6
AgilionApps/relax,https://github.com/AgilionApps/relax,alanpeabody,"Burlington, Vermont",Elixir,Elixir(100.00),49026,[Custom license],43,158,2014/11,1281,67,4079,2122,6201,2016-02-22 14:44:56,0.0523,45,92,3,126,13,6,46.15,1,1,5,6,0.0047,83.33,7,4,7,7,6,4,6,4,7
