Name,URL,Author,Language,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,Medium commit size,Total releases,Stargazers,Forks,Contributors,"Active forkers, %",Open issues,Closed issues,Total issues,Issue/day,"Closed issues, %",Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
django/django,https://github.com/django/django,jacobian,Python,[Unknown],2227,11909,2012/04,2177,21440,2712808,2057602,4770410,2018-01-03 06:40:14,9.8484,222,184,33053,13996,409,2.92,0,0,0.0000,0.00,0.00,1,1,0,0,1,8,0,8,19
pallets/flask,https://github.com/pallets/flask,mitsuhiko,Python,[Unknown],10684,33421,2010/04,2930,1957,74116,45505,119621,2018-03-22 19:06:05,0.6679,61,21,34523,10590,408,3.85,26,1416,0.4833,98.16,98.16,0,0,4,6,0,0,5,6,21
Pylons/pyramid,https://github.com/Pylons/pyramid,[Account removed],Python,[Unknown],0,659,2010/10,2728,6045,358647,290001,648648,2018-03-18 21:36:05,2.2159,107,130,2715,790,247,31.27,92,910,0.3336,89.89,89.89,6,6,1,1,7,1,1,1,24
tornadoweb/tornado,https://github.com/tornadoweb/tornado,[Account removed],Python,Apache-2.0,0,3704,2009/09,3139,2636,110254,57954,168208,2018-04-08 00:45:03,0.8398,63,51,15497,4523,280,6.19,195,1324,0.4218,85.27,85.27,2,2,3,4,2,2,4,5,24
web2py/web2py,https://github.com/web2py/web2py,mdipierro,Python,[Unknown],423,803,2008/11,3445,5413,602980,330741,933721,2018-04-03 05:22:19,1.5713,172,67,1572,751,147,19.57,176,714,0.2073,75.35,75.35,7,7,2,3,6,4,2,3,34
bottlepy/bottle,https://github.com/bottlepy/bottle,defnull,Python,MIT,770,2843,2009/06,3209,1369,112108,49273,161381,2018-03-13 11:37:10,0.4266,117,70,5363,1097,153,13.95,252,672,0.2094,62.50,62.50,4,4,5,2,3,7,6,4,35
channelcat/sanic,https://github.com/channelcat/sanic,channelcat,Python,MIT,240,648,2016/05,688,909,26089,12094,38183,2018-04-02 03:53:08,1.3212,42,20,8977,838,168,20.05,137,536,0.7791,74.44,74.44,3,3,6,7,8,5,3,2,37
TurboGears/tg2,https://github.com/TurboGears/tg2,invalid-email-address,Python,[Unknown],718,1176,2011/02,2612,828,37026,20660,57686,2018-04-06 12:37:26,0.3170,69,34,236,58,26,44.83,11,73,0.0279,84.93,84.93,8,8,7,5,4,3,8,0,43
plotly/dash,https://github.com/plotly/dash,chriddyp,Python,MIT,225,963,2015/04,1100,410,116618,111482,228100,2018-04-03 15:41:17,0.3727,556,4,4576,422,15,3.55,67,189,0.1718,64.55,64.55,5,5,8,8,5,6,7,7,51
