Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
cutelyst/cutelyst,https://github.com/cutelyst/cutelyst,dantti,"São Paulo, Brazil",C++,"C++(97.63),CMake(2.17),C(0.15),Shell(0.05)","A C++ Web Framework built on top of Qt, using the simple approach of Catalyst (Perl) framework.",2506197,LGPL-2.1,19,31,2015/06,1102,1839,157916,80009,237925,2018-06-01 17:36:41,1.6688,565,129,49,392,34,5,14.71,2,2,61,63,0.0572,96.83,4,2,1,1,5,1,1,1,1
treefrogframework/treefrog-framework,https://github.com/treefrogframework/treefrog-framework,[Unknown account],[Unknown],C++,"C++(71.68),JavaScript(24.50),QMake(1.38),C(0.72),Batchfile(0.66),HTML(0.47),CMake(0.42),Shell(0.16)",TreeFrog Framework : High-speed C++ MVC Framework for Web Application,2012515,BSD-3-Clause,0,198,2012/12,2010,1562,478128,99695,577823,2018-06-08 13:48:43,0.7771,285,369,24,494,117,16,13.68,2,14,112,126,0.0627,88.89,3,5,3,2,2,2,2,2,2
jlaine/qdjango,https://github.com/jlaine/qdjango,jlaine,Brussels,C++,"C++(97.79),QMake(1.66),C(0.31),Shell(0.22),HTML(0.01),CSS(0.01),JavaScript(0.01)","QDjango, a Qt-based C++ web framework",354563,LGPL-2.1,28,192,2013/11,1674,427,29724,14802,44526,2018-03-07 21:32:49,0.2551,437,104,9,147,56,6,10.71,2,14,13,27,0.0161,48.15,5,4,2,3,3,3,3,3,3
ipkn/crow,https://github.com/ipkn/crow,ipkn,"Seoul, Republic of Korea",C++,"C++(75.70),C(22.01),CMake(1.34),Python(0.92),Makefile(0.03)",Crow is very fast and easy to use C++ micro web framework (inspired by Python Flask),368084,BSD-3-Clause,264,644,2014/03,1534,251,115415,101764,217179,2017-12-27 14:33:31,0.1636,52,865,1,4210,520,34,6.54,2,137,79,216,0.1408,36.57,1,3,4,4,1,4,4,4,4
oktal/pistache,https://github.com/oktal/pistache,[Unknown account],[Unknown],C++,"C++(88.48),Python(8.88),CMake(0.81),M4(0.69),Shell(0.55),Makefile(0.52),C(0.07)",A high-performance REST Toolkit written in C++,2754792,Apache-2.0,0,150,2015/08,1033,158,35262,23917,59179,2018-05-15 09:30:18,0.1530,51,374,0,859,199,21,10.55,1,154,41,195,0.1888,21.03,2,1,5,5,4,5,5,5,5
