Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
grails/grails-core,https://github.com/grails/grails-core,[Unknown account],[Unknown],Java,"Java(50.65),Groovy(47.87),CSS(0.91),HTML(0.30),Shell(0.10),Python(0.06),PostScript(0.05),XSLT(0.03),JavaScript(0.03)",The Grails Web Application Framework,6367389,Apache-2.0,0,2279,2010/02,3048,11175,1724659,1445229,3169888,2018-05-30 17:15:33,3.6663,545,283,179,2329,926,208,22.46,33,183,9908,10091,3.3107,98.19,1,3,2,1,1,1,1,1,1
gaelyk/gaelyk,https://github.com/gaelyk/gaelyk,[Unknown account],[Unknown],Groovy,"Groovy(71.20),Java(20.99),HTML(4.08),CSS(1.95),JavaScript(1.79)",A lightweight Groovy toolkit for Google App Engine Java,887164,[Custom license],0,1367,2009/07,3257,1094,117231,71918,189149,2018-06-05 05:43:09,0.3359,422,172,21,233,44,16,36.36,5,34,145,179,0.0550,81.01,2,4,3,2,2,2,2,2,2
kdabir/glide,https://github.com/kdabir/glide,kdabir,"Pune, India",Groovy,"Groovy(88.11),Java(6.86),Makefile(2.92),CSS(1.87),HTML(0.19),JavaScript(0.05)",Create awesome apps on Google App Engine in a snap,125936,MIT,61,125,2012/11,2034,389,22178,16197,38375,2018-02-22 17:58:17,0.1912,413,98,16,48,9,5,55.56,1,12,23,35,0.0172,65.71,3,2,4,3,3,4,3,3,3
javaConductor/gserv,https://github.com/javaConductor/gserv,javaConductor,Chicago,JavaScript,"JavaScript(56.23),HTML(20.38),Groovy(16.62),CSS(5.64),ApacheConf(0.77),Ruby(0.15),Makefile(0.15),Java(0.04),Shell(0.02),Batchfile(0.00)",GServ: Framework for SPAs and REST based services.,3139790,MIT,5,5,2014/10,1354,131,761719,461829,1223548,2016-09-23 15:29:49,0.0968,721,9340,11,44,9,1,11.11,1,11,22,33,0.0244,66.67,4,1,1,4,4,3,4,4,4
