Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
http4k/http4k,https://github.com/http4k/http4k,s4nchez,"London, UK",Kotlin,"Kotlin(90.92),JavaScript(6.31),Java(1.90),Shell(0.37),CSS(0.22),HTML(0.10),Python(0.08),Handlebars(0.07),Pug(0.04)","The Functional toolkit for Kotlin HTTP applications. http4k provides a simple and uniform way to serve, consume, and test HTTP services.",2142585,Apache-2.0,35,685,2017/03,3348,9616,545179,294885,840064,2020-11-13 17:47:24,2.8722,290,87,12,1528,136,74,54.41,24,27,59,86,0.0257,68.60,2,1,3,5,5,1,1,2,1
ktorio/ktor,https://github.com/ktorio/ktor,orangy,St.Petersburg,Kotlin,"Kotlin(99.96),Python(0.02),JavaScript(0.02),HTML(0.00)",Framework for quickly creating connected applications in Kotlin with minimal effort,4789098,Apache-2.0,160,2630,2015/08,3946,6707,724423,379613,1104036,2020-11-13 15:16:58,1.6997,151,164,118,7507,624,152,24.36,37,552,237,789,0.1999,30.04,1,4,7,1,2,4,2,1,2
hypercube1024/firefly,https://github.com/hypercube1024/firefly,hypercube1024,China,Java,"Java(76.61),Kotlin(23.35),HTML(0.04)",Firefly is an asynchronous web framework for rapid development of high-performance web application.,2843330,Apache-2.0,38,38,2012/02,5211,3342,501091,412143,913234,2020-11-09 02:39:58,0.6413,1152,273,47,275,117,1,0.85,6,2,1,3,0.0006,33.33,5,8,1,2,8,3,3,4,3
wasabifx/wasabi,https://github.com/wasabifx/wasabi,hhariri,Spain,Kotlin,"Kotlin(99.71),HTML(0.27),CSS(0.02)",An HTTP Framework,179571,[Custom license],1620,1884,2013/03,4807,624,88588,61714,150302,2019-11-08 08:43:53,0.1298,164,240,1,510,61,20,32.79,3,20,4,24,0.0050,16.67,3,6,6,6,3,7,5,5,4
TinyMission/kara,https://github.com/TinyMission/kara,ajselvig,"Eagan, MN",Kotlin,"Kotlin(62.42),CSS(35.21),JavaScript(2.18),Java(0.20)",Kotlin Web Framework for the JVM,411184,[Custom license],2,4159,2012/12,4903,655,58455,40718,99173,2017-01-20 10:30:09,0.1336,244,151,0,472,70,17,24.29,8,0,0,0,0.0000,0.00,4,7,5,8,1,8,4,3,5
danneu/kog,https://github.com/danneu/kog,danneu,Texas,Kotlin,Kotlin(100.00),🌶 A simple Kotlin web framework inspired by Clojure's Ring.,189487,[Custom license],74,948,2016/11,3472,223,20936,7018,27954,2017-08-06 10:38:36,0.0642,129,125,35,39,3,2,66.67,1,12,4,16,0.0046,25.00,8,2,8,3,4,5,6,8,6
kohesive/kovert,https://github.com/kohesive/kovert,apatrida,"Montevideo, Uruguay",Kotlin,"Kotlin(99.26),FreeMarker(0.57),HTML(0.17)",The invisible REST and web framework,150765,MIT,76,76,2015/08,3928,240,12189,5083,17272,2018-11-15 18:16:41,0.0611,709,71,0,143,12,1,8.33,3,8,5,13,0.0033,38.46,6,3,2,7,7,2,7,7,7
jean79/yested,https://github.com/jean79/yested,jean79,"Prague, Czech Republic",JavaScript,"JavaScript(86.08),Kotlin(13.82),HTML(0.10)",A Kotlin framework for building web applications in Javascript.,2347027,MIT,3,158,2014/12,4178,225,190256,110951,301207,2018-02-06 22:20:37,0.0539,288,1338,31,82,17,5,29.41,3,15,4,19,0.0045,21.05,7,5,4,4,6,6,8,6,8
